Animal Services,(510) 790-6630
Field Services,(510) 790-6635
Animal Shelter,(510) 790-6640
Pet Licensing,(510) 790-6644
Building and Safety,(510) 494-4400
Fire Permits/Inspections,
Building Inspection,(510) 494-4400
Code Enforcement,(510) 494-4430
Plans & Permits,(510) 494-4460
City Attorney's Office,(510) 284-4030
Risk Management,(510) 284-4050
City Clerk's Office,(510) 284-4060
City Manager's Office,(510) 284-4000
Community Development,(510) 494-4448
Community Services,(510) 494-4300
Economic Development,(510) 284-4020
Engineering,(510) 494-4700
Environmental Services,(510) 494-4570
Finance Department,(510) 494-4610
Accounts Payable,(510) 494-4627
,(510) 494-4628
Accounting Services/Budget,(510) 494-4610
Purchasing,(510) 494-4620
Revenue,(510) 494-4790
,
Treasury,(510) 494-4610
Fire Department,(510) 494-4200
Fire Administration,(510) 494-4200
Fire Operations,(510) 494-4200
Fire Prevention,(510) 494-4200
Fire Training & EMS,(510) 494-4200
,
Housing,(510) 494-4500
Human Resources,(510) 494-4660
Human Services,(510) 574-2050
Aging and Family Services,(510) 574-2041
City-Funded Grants,(510) 574-2043
Fremont Family Resource Center,(510) 574-2000
Age Well Center at Lake Elizabeth,(510) 790-6600
           Age Well Center at South Fremont,(510)742-7540
Transportation Services - Seniors & Disabled,(510) 574-2053
Youth and Family Services,(510) 574-2100
Information Technology Services,(510) 494-4800
GIS,(510) 494-4834
Maintenance Operations,(510) 979-5700
Office of Emergency Services ,(510) 494-4200 
Parks and Recreation,(510) 494-4300
Parks Planning & Design ,(510) 494-4700 
Planning Division,(510) 494-4440
Police Department,(510) 790-6800
Public Works ,(510) 494-4700 
Transportation Engineering,(510) 494-4745
Webmaster,(510) 284-4000
